Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
416 Marlborough Street Condominium Trust,Yes,Multifamily Housing,41 6 Marlborough Street,02115," 78,100 ",48.2,75,,Multifamily Housing,1988, 271.0 ,3.5," 3,766,014.2 ",58.3%,41.7%,,40.2,,,,0503596000,"2015, 2016, 2017, "
Emmanuel College,Yes,Medical Office,41 Avenue Louis Pasteur,02115," 50,000 ",189.8,3,,"Medical Office, Parking",1948, 624.2 ,12.5," 9,491,353.6 ",39.1%,60.9%,,16.8,,,,401847015,"2017, "
CO/GLC 6130007/41 BELVIDERE ST/BOSTON/MA,Yes,Office,41 BELVIDERE ST,02115," 119,288 ",213.7,1,,Office,1905," 2,098.8 ",17.6," 25,492,177.5 ",90.4%,9.6%,,24.0,,,,0401314000,"2015, 2016, 2017, "
Symphony Court Condo,Yes,Multifamily Housing,41 Westland Ave,02115," 72,000 ",56.4,24,,Multifamily Housing,1960, 303.0 ,4.2," 4,057,808.6 ",66.7%,33.3%,,19.1,,,,0401482000,"2015, 2016, 2017, "
St. Ann Hall,Yes,Residence Hall/Dormitory,410 The Fenway,02115," 49,803 ",64.8,80,,Residence Hall/Dormitory,1962, 203.0 ,4.1," 3,227,483.2 ",30.3%,69.7%,,34.4,,"In August 2014, we replaced an aging boiler with a high-efficiency condensing boiler.

Between October 2014 and January 2015, we upgraded 215 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 73,000 kWh in this building.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000,"2014, 2015, 2016, 2017, "
Loretto Hall,Yes,Residence Hall/Dormitory,420 The Fenway,02115," 57,190 ",70.3,79,,Residence Hall/Dormitory,1964, 246.5 ,4.3," 4,022,599.4 ",25.2%,74.8%,,35.3,,"Between October 2014 and January 2015, we upgraded 267 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 85,000 kWh in this building.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000,"2014, 2015, 2016, 2017, "
Westland Ave Garage,Yes,Supermarket/Grocery Store,43 Westland Ave,02115," 18,175 ",335.3,24,,"Parking, Supermarket/Grocery Store",1978, 480.2 ,26.4," 6,094,492.1 ",79.4%,20.6%,,94.8,,,,0401460000,"2017, "
St. Joseph Hall,Yes,Residence Hall/Dormitory,430 The Fenway,02115," 94,450 ",42.6,89,,Residence Hall/Dormitory,1966, 270.2 ,2.9," 4,022,853.6 ",43.4%,56.6%,,40.0,,"Between October 2014 and January 2015, we upgraded 394 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 135,000 kWh in this building.

The gas meter was broken between August, 2015 - January, 2016. Therefore, the usage amounts are estimated based on the monthly charges. ",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000,"2014, 2015, 2016, 2017, "
Parking Garage,Yes,Parking,45 Avenue Louis Pasteur,02115," 50,000 ",6.8,Not Available,,Parking,1948, 29.0 ,0.6," 339,352.6 ",100.0%,,,,,,,401847015,"2017, "
LHRRB,Yes,Laboratory,45 Shattuck St,02115," 66,053 ",381.8,Not Available,,Laboratory,1977," 1,681.8 ",25.5," 25,219,343.9 ",32.0%,,25.6%,22.9,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016, 2017, "
"Rubenstein,Burstein Campus",Yes,College/University,454-458-460 Huntington Avenue,02115," 81,306 ",56.7,Not Available,,College/University,1926, 277.5 ,3.4," 4,612,029.9 ",21.8%,78.2%,,27.6,,,,"402033000, 402032000, 402034000","2014, 2015, 2016, 2017, "
"46 Westland Ave - Forty-Six Westland Avenue, LLC",Yes,Multifamily Housing,46 Westland Avenue,02115," 30,565 ",2.1,100,,Multifamily Housing,1926, 5.4 ,0.2," 64,550.3 ",92.1%,7.9%,,6.1,,,,401516000,"2017, "
Museum of Fine Arts,Yes,Museum,465 Huntington Ave,02115," 630,000 ",281.7,Not Available,,Museum,1900," 11,825.2 ",18.8," 177,500,729.3 ",41.8%,58.2%,,40.0,,,,0401796000,"2014, 2016, 2017, "
Beacon Towers Condominium,Yes,Multifamily Housing,479-483 Beacon St,02115," 70,000 ",72.1,66,,Multifamily Housing,1890, 315.0 ,4.5," 5,050,229.2 ",28.6%,71.4%,,32.4,,Property square footage is estimated based on the total rentable space plus common areas.,,503644000,"2015, 2016, 2017, "
Kenmore Abbey,Yes,Multifamily Housing,488 Commonwealth Avenue,02115," 155,251 ",77.5,65,2016,"Multifamily Housing, Retail Store",1978, 762.4 ,4.9," 12,031,093.4 ",31.7%,68.3%,,47.0,,,,0503924000,"2015, 2016, 2017, "
Hemenway Apartments,Yes,Multifamily Housing,491 Huntington Ave,02115," 70,300 ",115.1,24,,Multifamily Housing,1900, 483.8 ,6.9," 8,091,424.1 ",20.6%,79.4%,,85.2,,"Energy/Water usage + building characteristics cover three connected buildings: 

491 Huntington Ave (6 Museum Rd): 0401797000
497 Huntington Ave: 0401798000
499 Huntington Ave: 0401799000",,0401797000,"2015, 2016, 2017, "
Church Court Condominium,Yes,Multifamily Housing,492 Beacon Street,02115," 60,000 ",20.9,99,,Multifamily Housing,1900, 106.5 ,1.8," 1,252,169.7 ",98.7%,1.3%,,23.8,,,,503692000,"2017, "
PHS-BWH-ServiCenter Garage,Yes,Mixed Use Property,"500 Brookline Avenue, or",02115," 71,806 ",248.2,Not Available,,"Medical Office, Parking",1970," 1,169.7 ",16.3," 17,818,822.5 ",20.0%,,51.4%,811.4,,"Combination Parking, Dr. Offices, and HVAC shops for main hospital.",,1000240000,"2014, 2015, 2016, 2017, "
504 Beacon,Yes,Multifamily Housing,504 Beacon Street,02115," 19,824 ",9.6,100,,Multifamily Housing,1900, 33.8 ,0.8," 395,577.0 ",100.0%,,,,,,,503693000,"2017, "
The Badminton and Tennis Club,Yes,Other - Entertainment/Public Assembly,52 Hemenway Street,02115," 25,000 ",Not Available,Not Available,,Other - Entertainment/Public Assembly,1937, Not Available ,Not Available, Not Available ,,,,6.8,,,,401451000,"2017, "
Wentworth Institute of Technology,Yes,College/University,550 Huntington Ave.,02115," 1,355,705 ",85.9,Not Available,,"College/University, Parking",1910," 7,447.9 ",5.5," 116,404,838.3 ",33.6%,66.4%,,18.6,,,,402024000 402025000 401826000 402037001 401810000 401833000 401832000 401831000 401830000 401815000 401814000 401812000 401811000 401816000 401817000 401819000 402044000 402045000 902907000 402031000 401822000,"2014, 2015, 2016, 2017, "
Engine 37,Municipal ,Fire Station,560 Huntington Ave,02115," 15,824 ",96.1,Not Available,,Fire Station,2000, 89.4 ,5.7," 1,520,658.4 ",17.6%,82.4%,,,,,,402030000,"2016, 2017, "
Fire Alarm,Municipal ,Fire Station,59 Fenway,02115," 13,040 ",271.6,Not Available,,Fire Station,2000, 237.6 ,18.2," 3,541,947.5 ",43.2%,56.8%,,,,,,504175006,"2016, 2017, "
Pizzi Family Trust,Yes,Other - Lodging/Residential,60 Fenway St,02115," 33,882 ",Not Available,Not Available,,Other - Lodging/Residential,1910, -   ,Not Available, Not Available ,,,,,,,,401721000,"2017, "
The Park Drive Condominium,Yes,Multifamily Housing,63-69 Park Drive,02115," 35,000 ",70.6,86,,Multifamily Housing,1925, 144.7 ,4.1," 2,469,639.0 ",16.9%,83.1%,,45.8,,Gross floor area was estimated using the total rentable area plus common areas.,,504253000,"2015, 2016, 2017, "
64-70 Burbank St. Apt: 64 Burbank St.,Yes,Multifamily Housing,64 Burbank St,02115," 37,136 ",48.7,96,,Multifamily Housing,1912, 110.3 ,3.0," 1,808,377.1 ",24.4%,75.6%,,22.0,,Eversource confirmed only one service address for the property (64 Burbank Street) - and the request was placed accordingly for the whole building aggregated usage. The usage reported reflects the data that was provided directly by Eversource for the whole building. ,,401476000,"2017, "
Westland Ave Apartments,Yes,Multifamily Housing,65 Westland Ave,02115," 114,949 ",56,73,,Multifamily Housing,1900, 407.8 ,3.5," 6,442,370.4 ",31.5%,68.5%,,34.2,,,,0401512000,"2015, 2016, 2017, "
Charlesbank Apartments: 650 Huntington Avenue,Yes,Multifamily Housing,650 Huntington Avenue,02115," 228,052 ",100.9,42,,Multifamily Housing,2012," 1,348.9 ",5.9," 22,999,642.8 ",17.1%,82.9%,,44.8,,Parcel ID 1000015000 is associated with 650 Huntington in Tax Assessor Database but on CBL it is listed as Longwood Ave. ,,1000015000,"2015, 2016, 2017, "
"Buildings 1, 2, 3 & 4 (Rollup)",Yes,College/University,650-665-677 Huntington Ave,02115," 534,676 ",254.4,Not Available,,College/University,1960," 10,143.3 ",19.0," 136,000,710.9 ",30.9%,0.4%,37.3%,1224.8,,"This property is being submitted as a roll-up of 4 different buildings within this Parcel. Profile includes the following buildings with combined total energy and water consumption:

665 Huntington Ave - Building #1
665 Huntington Ave - Building #2
650 Huntington Ave - Building #3
677 Huntington Ave - Building #4 ",,0401880000,"2016, 2017, "
660 Huntington Ave-collegeUniversity,Yes,College/University,660 Huntington Ave,02115," 58,315 ",0.3,Not Available,,College/University,2013, 1.6 ,0.0," 18,800.7 ",100.0%,,,12.1,,,,1000037000,"2017, "
"660 Huntington Ave, 52-collegeUniversity",Yes,College/University,"660 Huntington Ave, 52",02115," 58,315 ",43.2,Not Available,,College/University,2013, 138.3 ,2.4," 2,516,888.6 ",5.7%,94.3%,,,,,,1000037000,"2017, "
662 Huntington Ave-collegeUniversity,Yes,College/University,662 Huntingtn Ave,02115," 51,729 ",145.8,Not Available,,College/University,1995, 488.0 ,9.4," 7,544,577.0 ",35.8%,64.2%,,,,,,0401844000,"2015, 2016, 2017, "
Davenport Commons B,Yes,College/University,696 Columbus Avenue,02115," 76,325 ",63.4,Not Available,,College/University,2001, 306.8 ,4.0," 4,836,096.5 ",32.0%,68.1%,,34.5,,,,901335010,"2014, 2015, 2016, 2017, "
Shapiro Cardiovascular Center,Yes,Hospital (General Medical & Surgical),70 Francis Street,02115," 865,000 ",486.9,1,,Hospital (General Medical & Surgical),2008," 7,464.6 ",17.2," 211,788,775.5 ",46.9%,,53.1%,27.0,,"This account is now also services 400,000 SF laboratory building under construction.  EUI no longer accurate.  Began service to construction site in January 2015.  Estimate about 800,000 kWh per month going to the new building at this time.

This electrical account is now also serving the occupied laboratory building next door.",,1000247010,"2015, 2016, 2017, "
Davenport Commons A,Yes,College/University,700 Columbus Avenue,02115," 122,719 ",60.7,Not Available,,College/University,2001, 504.2 ,4.1," 7,449,290.9 ",45.1%,54.9%,,54.6,,,,901434010,"2014, 2015, 2016, 2017, "
Huntington Avenue: 706 Huntington Avenue,Yes,Multifamily Housing,706 Huntington Avenue,02115," 35,502 ",97.9,36,,Multifamily Housing,1987, 203.4 ,5.7," 3,473,987.4 ",16.8%,83.2%,,42.5,,,,1000131000,"2017, "
On The Fens Condominium,Yes,Multifamily Housing,70-74 The Fenway,02115," 17,000 ",41.4,100,,Multifamily Housing,1981, 42.2 ,2.5," 704,071.1 ",20.9%,79.1%,,12740827.7,,,,0401719000,"2014, 2015, 2016, 2017, "
Columbus Place,Yes,College/University,716 Columbus Avenue,02115," 124,192 ",94,Not Available,,College/University,1910, 816.4 ,6.6," 11,675,085.0 ",51.2%,47.6%,,8.6,,,,901417000,"2014, 2015, 2016, 2017, "
PHS-BWH Main Campus,Yes,Hospital (General Medical & Surgical),75 Francis Street,02115," 2,138,279 ",331.5,28,,Hospital (General Medical & Surgical),1910," 48,677.0 ",22.8," 708,888,547.8 ",27.3%,,35.6%,25.4,,,,0401896000,"2014, 2015, 2016, 2017, "
Landmark Square,Yes,Multifamily Housing,75 Peterborough Street,02115," 204,157 ",69.8,88,,"Multifamily Housing, Parking",2000, 842.4 ,4.1," 14,256,952.1 ",18.5%,81.5%,,42.0,,,,0504311000,"2015, 2016, 2017, "
Warehouse,Yes,College/University,76 Atherton Street,02115," 140,197 ",46.1,Not Available,,College/University,1910, 370.1 ,2.6," 6,469,842.4 ",12.6%,87.4%,,0.9,,,,1101222000,"2014, 2015, 2016, 2017, "
Westland Ave Apts: 76-78 Westland Ave,Yes,Multifamily Housing,76-78 Westland Ave,02115," 56,520 ",64.3,54,,Multifamily Housing,1900, 231.6 ,4.1," 3,634,413.0 ",45.0%,55.0%,,30.9,,,,401507000,"2017, "
New Research Building (NRB),Yes,Laboratory,77 Avenue Louis Pasteur,02115," 562,781 ",335.4,Not Available,,"Laboratory, Parking",2003," 14,083.1 ",25.0," 188,756,434.4 ",43.4%,0.4%,56.2%,55.0,,"The Medical Area Total Energy Plant (MATEP) on Brookline Ave., Boston supplies Steam to the NRB. NSTAR provides electrical service. NRB building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000,"2014, 2015, 2016, 2017, "
LATIN,Municipal ,K-12 School,78 Louis Pasteur Ave.,02115," 336,545 ",68.8,60,,K-12 School,1922," 1,402.3 ",4.2," 23,140,485.1 ",23.2%,76.8%,,,,,,401846000,"2016, 2017, "
780 Columbus Avenue,Yes,College/University,780 Columbus Avenue,02115," 40,273 ",89.4,Not Available,,College/University,1912, 240.6 ,6.0," 3,600,911.0 ",42.4%,57.6%,,44.9,,,,901364000,"2017, "
MEEI -Longwood,Yes,Ambulatory Surgical Center,800 Huntington Ave,02115," 76,300 ",205.9,Not Available,,Ambulatory Surgical Center,2012," 1,106.7 ",14.5," 15,708,250.4 ",53.6%,46.4%,,32.5,,,,1000894000,"2014, 2015, 2016, 2017, "
Peterborough Condo,Yes,Multifamily Housing,82 & 86 Jersey Street,02115," 23,803 ",520.3,1,,Multifamily Housing,1920, 672.6 ,28.3," 12,385,044.6 ",3.7%,96.3%,,46.1,,,,504224000,"2017, "
Norway Housing: 87 Saint Stephen Street,Yes,Multifamily Housing,87 Saint Stephen Street,02115," 39,048 ",77.9,80,,Multifamily Housing,1978, 180.5 ,4.6," 3,042,407.5 ",19.2%,80.8%,,41.0,,,,0401665000,"2017, "
"Cahners,Cushing,kerr,Melvin Campus",Voluntary,College/University,90 The Fenway,02115," 99,293 ",95.9,Not Available,,College/University,1923, 565.4 ,5.7," 9,520,638.0 ",19.4%,80.6%,,23.5,,,,"401708000, 401711000, 401712000, 401714000","2014, 2015, 2016, 2017, "
Parkside Tower,Yes,Multifamily Housing,91 Westland Avenue,02115," 98,021 ",19.9,100,,Multifamily Housing,1900, 157.2 ,1.6," 1,946,500.4 ",85.4%,14.6%,,62.6,,,,401474000,"2016, 2017, "
921 Boylston St.,Yes,College/University,921 Boylston Street,02115," 58,390 ",80.8,Not Available,,College/University,1950, 337.0 ,5.8," 4,719,967.4 ",56.6%,43.4%,,7.9,,,,503103000,"2016, 2017, "
Engine 33,Municipal ,Fire Station,941 Boylston St,02115," 11,580 ",48.7,Not Available,,Fire Station,2000, 43.0 ,3.7," 564,366.7 ",71.1%,28.9%,,13.5,,,,503064000,"2016, 2017, "
Norway Housing: 99-103 Norway Street,Yes,Multifamily Housing,99-103 Norway Street,02115," 45,570 ",72.7,70,,Multifamily Housing,1978, 229.7 ,5.0," 3,310,836.7 ",19.8%,33.5%,,43.8,,,,0401410000,"2015, 2016, 2017, "
McBride House/St Cecilia's: StC-108 Kilmarnock st,Yes,Multifamily Housing,StC-108 Kilmarnock st,02115," 80,731 ",96.9,65,,Multifamily Housing,1995, 488.5 ,6.1," 7,820,870.6 ",28.9%,71.1%,,48.2,,,,0504281010,"2015, 2016, 2017, "
702 Huntington Ave Pharm-collegeUniversity,Voluntary,College/University,702 Huntington Ave Pharm,02115-5924," 347,844 ",1.4,Not Available,,College/University,2013, 31.1 ,0.1," 493,645.2 ",30.9%,69.1%,,,,,,1000132000,"2017, "
One Appleton,Yes,Mixed Use Property,1 Appleton Street,02116," 40,000 ",53.8,94,,"Office, Restaurant",1900, 143.0 ,3.6," 2,153,865.0 ",41.1%,58.9%,,19.8,,,,500693000,"2016, 2017, "
Trinity Place Condominium,Yes,Multifamily Housing,1 Huntington Ave.,02116," 177,636 ",131.2,1,,"Multifamily Housing, Other - Services, Parking, Restaurant",2001," 1,617.5 ",9.1," 23,303,856.2 ",43.6%,11.1%,45.4%,32.0,,"""Other - Services Use"" is the currently vacant health club.",,0401053010,"2015, 2016, 2017, "
"The Westin Copley Place, Boston",Yes,Hotel,10 Huntington Avenue,02116," 885,000 ",Not Available,Not Available,,"Hotel, Parking, Restaurant, Swimming Pool",1982, Not Available ,Not Available, Not Available ,,,,29.8,,"Data for the meters is from our in-house meter reads, not directly from invoices. This is to ensure accuracy and consistency as well as provide more detail.",,0401067010,"2014, 2015, 2016, 2017, "
10 St. James Ave.,Yes,Office,10 St. James Avenue,02116," 567,714 ",68,81,"2016, 2011, 2009, 2008, 2007","Financial Office, Office, Other, Parking",2001," 3,296.5 ",5.8," 38,580,609.4 ",100.0%,,,12.0,,,,0501152000,"2014, 2015, 2016, 2017, "
Tent City,Yes,Multifamily Housing,100 -128 Dartmouth Street (130),02116," 327,174 ",58.3,68,,"Multifamily Housing, Retail Store",1987," 1,334.9 ",4.1," 19,070,423.9 ",52.2%,47.8%,,36.7,,,,0400600040,"2015, 2016, 2017, "
100 Arlington,Yes,Multifamily Housing,100 Arlington Street,02116," 203,204 ",57.5,21,,"Food Sales, Multifamily Housing",1926, 885.4 ,4.4," 11,685,975.1 ",60.3%,15.9%,23.7%,17.0,,Parcel ID: 0500805000,,0500805000,"2015, 2016, 2017, "
100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,02116," 843,168 ",19.2,Not Available,,"Bank Branch, Medical Office, Office, Other",1969," 1,362.2 ",1.6," 16,147,931.0 ",96.6%,3.3%,0.0%,1.7,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street (Eastern Bank and Harvard Vanguard Medical Associates). The garage office is staffed 24x7 and includes a small office for Avis Rental Car.",,0401082001,"2014, 2015, 2016, 2017, "
Copley Place,Yes,Office,100 Huntington Avenue,02116," 1,232,000 ",104,Not Available,,"Enclosed Mall, Office, Parking",1983," 10,816.7 ",8.8," 128,070,381.3 ",97.0%,3.0%,,24.7,,we provide chilled water to the Copley Westin Hotel and Copley Marriott Hotels . .  and electric and water consumption relates to those users NOT @ 100 HUntington Ave. ,,0400600020,"2014, 2015, 2016, 2017, "
W Hotel & Residences Boston,Yes,Mixed Use Property,100 Stuart Street,02116," 395,858 ",68.6,74,,"Hotel, Multifamily Housing, Parking",2009," 1,993.8 ",5.0," 27,155,104.2 ",43.6%,9.6%,46.8%,31.0,,,,0500075024,"2017, "
33787-Boston Copley Marriott,Yes,Hotel,110 Huntington Ave,02116," 863,000 ",80.9,67,,Hotel,1983," 5,316.0 ",6.2," 69,836,391.8 ",56.0%,7.1%,36.9%,30.6,,0400985100,,0400985100,"2015, 2016, 2017, "
116 Huntington,Yes,Office,116 Huntington Ave,02116," 287,141 ",55.8,86,"2016, 2015, 2010","Office, Parking, Restaurant",1990," 1,368.9 ",4.8," 16,020,600.2 ",100.0%,,,7.6,,,,0401013010,"2015, 2016, 2017, "
The Colonnade Residences,Yes,Multifamily Housing,118 Huntington Avenue,02116," 172,000 ",131.1,Not Available,,"Multifamily Housing, Parking",2002," 1,492.8 ",8.7," 22,545,757.7 ",40.5%,59.5%,,25.3,,,,0400905010,"2015, 2016, 2017, "
"12 Commonwealth Avenue, Boston, MA",Yes,Multifamily Housing,12 Commonwealth Avenue,02116," 42,860 ",83.4,84,,Multifamily Housing,1927, 269.0 ,6.3," 3,573,715.2 ",14.5%,2.6%,,35.9,,,,0501221-000,"2015, 2016, 2017, "
Walker Building,Yes,College/University,120 Boylston St,02116," 176,296 ",79.7,Not Available,,College/University,1891," 1,097.9 ",6.2," 14,050,928.0 ",61.7%,,38.4%,,,,,0500043011,"2014, 2015, 2016, 2017, "
120 Herald Street,Yes,Other,120 Herald Street,02116," 115,680 ",1.8,Not Available,,"Other, Parking",1967, 17.8 ,0.2," 208,300.1 ",100.0%,,,,,this is a parking structure only.  There is no building associated. No water meter.,,0500515000,"2014, 2015, 2016, 2017, "
The Colonnade Hotel,Yes,Hotel,120 Huntington Avenue,02116," 276,439 ",107.8,70,,Hotel,1971," 1,920.4 ",6.9," 29,787,716.4 ",35.1%,64.9%,,66.9,,,,400905000,"2014, 2015, 2016, 2017, "
126 Newbury St,Yes,Retail Store,126 Newbury St,02116," 49,896 ",13.8,99,,Retail Store,1960, 58.9 ,1.2," 689,424.9 ",100.0%,,,5.6,,,,01320000,"2016, 2017, "
